feature,mae
SMA_5,0.06175054477025183
EMA_9,0.06673010393141442
SMA_10,0.06725359434936891
SMA_30,0.0678244008506131
BB_Middle,0.06790031164631452
WPR,0.0679145368861862
BB_Upper,0.06801291003831803
Lag_5,0.06801829942454728
BB_Lower,0.06805064037478187
SMA_15,0.06805657327886606
Stochastic_K,0.06807185466647128
RSI,0.06808515967760793
BASELINE,0.06809649599654916
Lag_4,0.06809649599654916
Lag_3,0.06809649599654916
OBV,0.06809649599654916
Year,0.06809649599654916
DayOfWeek,0.06809649599654916
MACD,0.06809671717082923
Month,0.06809913869952654
Signal_Line,0.0681070230417335
MFI,0.06811154059025509
ATR,0.06814301147537549
VIX,0.0682409888512465
ROC,0.06828948407353284
CMF,0.06866433445262303
