R2,RMSE,MAE,MAPE
-287.68625290203437,11007667.390152302,10997632.805594906,90.57515070171878
R2,RMSE,MAE,MAPE,sMAPE
-55.698206975840264,6030111.20976824,6007252.067325086,50.12082639375859,66.92126384461363
R2,RMSE,MAE,MAPE,sMAPE
-55.77435827407855,6136707.4369233735,6114503.592932649,50.16199400905318,66.98161126758026
R2,RMSE,MAE,MAPE,sMAPE
-53.03034075630254,5952589.676108764,5927523.47007958,48.88037947138129,64.7202722171592
R2,RMSE,MAE,MAPE,sMAPE
-283.89791164891193,2239291.9903141283,2237534.564993481,95.3855786003319,182.38406146058355
R2,RMSE,MAE,MAPE,sMAPE
-284.6949265626243,2242422.063496795,2240615.7503863876,95.51155929434046,182.81064854487713
R2,RMSE,MAE,MAPE,sMAPE
-282.69473749313784,2234558.5248442274,2232612.9860972273,95.1634550629651,181.55078648419988
R2,RMSE,MAE,MAPE,sMAPE
-281.947193276274,2284752.8219378525,2283042.615900977,95.06639263964556,181.1644680155198
R2,RMSE,MAE,MAPE,sMAPE
-175.19514275261417,1802949.2125045783,1800552.1226451772,74.91243436470774,119.80147179796096
R2,RMSE,MAE,MAPE,sMAPE
-175.86267913465898,1806361.328175024,1804089.9172287392,75.06639831177249,120.1997575222686
R2,RMSE,MAE,MAPE,sMAPE
-252.99758565022432,2164717.96573532,2162903.015555669,90.047030328746,163.91777483661195
R2,RMSE,MAE,MAPE,sMAPE
-254.51657057202488,2171181.1620482393,2169052.0179689373,90.28744792455268,164.70301749666706
R2,RMSE,MAE,MAPE,sMAPE
-202.15218240619916,1935963.983029894,1933851.135578595,80.47936410835284,134.70938481164626
R2,RMSE,MAE,MAPE,sMAPE
-175.34338431960015,1803707.5075934047,1801276.6629763169,74.94134653856617,119.8758151546313
R2,RMSE,MAE,MAPE,sMAPE
-205.57035476962986,1952182.992959881,1950233.4761078963,81.17922714412329,136.71899275140495
R2,RMSE,MAE,MAPE,sMAPE
-253.4637022055611,2166703.316085469,2164845.6354937055,90.12378235815974,164.15989561201758
R2,RMSE,MAE,MAPE,sMAPE
-287.70682758445315,2307889.7299120105,2306171.542149362,96.02589025373035,184.62291944359927
